tournament_name,year,event_start,early_bird_fee,early_bird_deadline,regular_fee,regular_deadline,onsite_fee,prize_fund,has_eb_phrasing,eb_demoted_reason,url
2022 WORLD OPEN CHESS TOURNAMENT,2022,2022-07-04,73,2022-06-15,308,2022-04-15,350,,False,,https://www.chesstour.com/wo22.htm
2023 WORLD OPEN CHESS TOURNAMENT,2023,2023-07-02,318,2023-05-15,328,2023-06-27,350,208000,False,,https://www.chesstour.com/wo23.htm
wo24,2024,2024-07-03,318,2024-05-15,328,2024-06-29,350,208000,False,,https://www.chesstour.com/wo24.htm
wo25,2025,2025-07-02,318,2025-05-15,328,2025-06-28,350,208000,False,,https://www.chesstour.com/wo25.htm
wo26,2026,2026-07-01,318,2026-05-15,328,2026-06-29,350,208000,False,,https://www.chesstour.com/wo26.htm
woac26,2026,2026-06-30,,,65,2026-06-29,80,,False,"only one date-bound tier ($65 by 2026-06-29, T-1) — advance/onsite step, not early bird",https://www.chesstour.com/woac26.htm
woam26,2026,2026-06-29,,,83,2026-06-26,100,,False,"only one date-bound tier ($83 by 2026-06-26, T-3) — advance/onsite step, not early bird",https://www.chesstour.com/woam26.htm
wob26,2026,2026-07-05,,,40,2026-07-04,,,False,"only one date-bound tier ($40 by 2026-07-04, T-1) — advance/onsite step, not early bird",https://www.chesstour.com/wob26.htm
wog5026,2026,2026-06-25,,,40,2026-06-22,50,,False,"only one date-bound tier ($40 by 2026-06-22, T-3) — advance/onsite step, not early bird",https://www.chesstour.com/wog5026.htm
wolower26,2026,2026-06-26,218,2026-05-15,228,2026-06-23,250,17000,False,,https://www.chesstour.com/wolower26.htm
woq26,2026,2026-07-04,,,40,2026-07-03,,,False,"only one date-bound tier ($40 by 2026-07-03, T-1) — advance/onsite step, not early bird",https://www.chesstour.com/woq26.htm
wosa26,2026,2026-06-29,,,45,2026-06-26,60,,False,"only one date-bound tier ($45 by 2026-06-26, T-3) — advance/onsite step, not early bird",https://www.chesstour.com/wosa26.htm
woseven26,2026,2026-07-01,,,40,2026-06-30,,,False,"only one date-bound tier ($40 by 2026-06-30, T-1) — advance/onsite step, not early bird",https://www.chesstour.com/woseven26.htm
wowc26,2026,2026-06-29,,,88,2026-06-26,100,,False,"only one date-bound tier ($88 by 2026-06-26, T-3) — advance/onsite step, not early bird",https://www.chesstour.com/wowc26.htm
wu26,2026,2026-06-29,,,58,2026-06-26,70,,False,"only one date-bound tier ($58 by 2026-06-26, T-3) — advance/onsite step, not early bird",https://www.chesstour.com/wu26.htm
